Provider Name,State,City,Claims_Paid_for_Testing,Claims_Paid_for_Treatment,Georeferenced Column
STAMFORD UC PC,CT,STAMFORD,3101.76,0,POINT (-73.53947500000001 41.05192400000001)
UPSTATE AFFILIATE ORGA,SC,TRAVELERS REST,453.98,259.69,POINT (-82.444563 34.968493)
PRACTICE ASSOCIATES ME,NJ,EDISON,0,238.65,POINT (-74.388231 40.525525)
SHENANDOAH MEMORIAL HO,VA,FRONT ROYAL,0,14.68,POINT (-78.185095 38.926519)
JOHNS HOPKINS UNIVERSI,MD,BALTIMORE,11.78,69.30,POINT (-76.612333 39.290443)
UNC PHYSICIANS AND ASS,NC,HILLSBOROUGH,54.85,0,POINT (-79.096354 36.074601)
OAKWOOD AMBULATORY LLC,MI,DEARBORN,94.00,219.99,POINT (-83.17594 42.322141)
PRACTICE ASSOCIATES ME,NJ,MORRISTOWN,475.47,9679.81,POINT (-74.481595 40.79664)
PRESBYTERIAN HOME HEAL,NM,ALBUQUERQUE,22.01,0,POINT (-106.649241 35.084248)
GLOBAL PHYSICIAN NETWO,FL,SARASOTA,29218.53,3477.83,POINT (-82.538602 27.336483)
SOUTHWEST WOMENS HEALT,TX,HOUSTON,984.37,0,POINT (-95.369506 29.760803)
STEWARD MEDICAL GROUP,OH,HUBBARD,0,43.98,POINT (-80.568882 41.156424)
UCHEALTH MEDICAL GROUP,CO,BROOMFIELD,486.29,0,POINT (-105.081661 39.923985)
WOODLAND HEIGHTS MEDIC,TX,LUFKIN,680.58,22708.38,POINT (-94.727903 31.332913)
IOWA PHYSICIANS CLINIC,IL,GENESEO,376.01,0,POINT (-90.153977 41.44794)
HEALTH TEXAS PROVIDER,TX,GARLAND,0,1621.49,POINT (-96.636564 32.914343)
INDIANA PHYSICIAN MANA,IN,GREENFIELD,166.55,516.17,POINT (-85.769273 39.785199)
CALIFORNIA EMERGENCY P,NJ,WOODBURY,477400.32,91676.17,POINT (-75.15316 39.838159)
SPECLTY ASSOCIATES OF,TX,SPRING,0,111.37,POINT (-95.41769 30.079731)
EPSS LLC CENTRAL SERIE,IL,PEKIN,1091.99,0,POINT (-89.646592 40.567632)
NOVANT MEDICAL GROUP,NC,CORNELIUS,78.78,58.00,POINT (-80.858848 35.48491)
PULMONARY INSTITUTE OF,AZ,TUCSON,0,202.31,POINT (-110.971225 32.221878)
OLYMPIA NEUROLOGICAL I,OK,TULSA,382.73,0,POINT (-95.992083 36.155327)
PRESENCE HEALTHCARE SE,IL,CHICAGO,0,1616.36,POINT (-87.632398 41.88322900000001)
PROVIDENCE HEALTH AND,OR,GRESHAM,96.08,0,POINT (-122.42767699999999 45.496729)
UCLA DEPARTMENT OF MED,CA,VENTURA,84.68,0,POINT (-119.293107 34.280832)
UHS CORONA INC,CA,CORONA,0,16585.20,POINT (-117.568843 33.875665)
UCA AUGUSTA CARDIOLOGY,GA,AUGUSTA,0,72.92,POINT (-81.964397 33.472494)
LAHEY CLINIC INC,MA,BEVERLY,0,44.60,POINT (-70.882679 42.552163)
SALEM HEALTH,OR,SALEM,0,177.61,POINT (-123.039307 44.939016)
QUEST DIAGNOSTICS,NJ,TETERBORO,4161405.83,104558.57,POINT (-74.054438 40.86598)
HAMILTON GENERAL HOSPI,TX,HICO,117.99,0,POINT (-98.033785 31.98297)
SOUTHERN CALIFORNIA EM,CA,MORENO VALLEY,2159.63,0,POINT (-117.261144 33.917114)
DOCTORS CARE PA,SC,LEXINGTON,62.17,0,POINT (-81.238363 33.981298)
HOMER MEMORIAL HOSPITA,LA,HOMER,621.01,438.25,POINT (-93.055526 32.791192)
COLUMBIA ST MARYS HOSP,WI,MILWAUKEE,5704.28,16411.46,POINT (-87.909421 43.041072)
HDMC HOLDINGS LLC,CA,JOSHUA TREE,402.81,0,POINT (-116.315127 34.126919)
SOUTHLAND OPTIM JENKIN,GA,MILLEN,65.19,389.18,POINT (-81.949156 32.803787)
URGENT CARE MDS,TX,CROSBY,0,313.20,POINT (-95.063673 29.907971000000003)
ST LUKES EMERGENCY AND,PA,QUAKERTOWN,0,3575.82,POINT (-75.338968 40.441417)
ENH FACULTY PRACTICE A,IL,NORTHBROOK,6854.41,5545.08,POINT (-87.831558 42.130979)
GUNDERSEN LUTHERAN MED,WI,ONALASKA,0,166.11,POINT (-91.234285 43.882705)
UNIVERSITY PHYSICIANS,CO,DENVER,0,213.24,POINT (-104.984853 39.738453)
FLORIDA HOSPITAL,FL,WINTER PARK,4680.21,28247.62,POINT (-81.33882 28.600246)
MEMPHIS HEALTH CENTER,TN,MEMPHIS,102.66,0,POINT (-90.052136 35.143378)
MADISON HEALTH,OH,LONDON,1014.98,0,POINT (-83.44062100000001 39.889837)
ABINGTON EMERGENCY PHY,DE,CHRISTIANA,7635.72,2052.90,POINT (-75.660301 39.665001)
MC FAMILY MEDICAL,NC,CHARLOTTE,478.56,105.81,POINT (-80.840161 35.222936)
ELECTRIC CITY EMERGENC,MO,BUTLER,236.94,0,POINT (-94.343266 38.257943)
CONCORD MEDICAL GROUP,TX,JACKSBORO,2219.81,0,POINT (-98.158793 33.218268)
DX MSO LLC,TN,HIXSON,2000.76,152.88,POINT (-85.232803 35.140598)
Salem County Hospital,NJ,SALEM,0,96933.76,POINT (-75.467091 39.571905)
FREEDOM NOW SERVICES,NC,CHARLOTTE,0,105.81,POINT (-80.840161 35.222936)
DOCTORS HEALTH GROUP I,MO,KENNETT,1756.76,0,POINT (-90.05686 36.236708)
NORTH SHORE LIJ,NY,MOUNT KISCO,0,792.79,POINT (-73.726657 41.207297)
DIRECT URGENT CARE1417,CA,MOUNTAIN VIEW,143116.88,2527.23,POINT (-122.08138999999998 37.39008)
HENNEPIN COUNTY MEDICA,MN,MINNEAPOLIS,0,3178.59,POINT (-93.264346 44.977479)
INFORM DIAGNOSTICS,AZ,PHOENIX,800.00,0,POINT (-112.072585 33.448204)
BRAVO GRAND EMERGENCY,TX,BROWNWOOD,171.37,0,POINT (-98.986454 31.718757)
CANYON OAKS HOSPITALIS,TX,DALLAS,0,1484.04,POINT (-96.796215 32.777977)
JACKSON MEMORIAL HOSPI,FL,MIAMI,28508.69,320526.71,POINT (-80.194702 25.775084)
MIDLAND FLORIDA INFECT,FL,ORANGE CITY,0,641.23,POINT (-81.298843 28.948791000000003)
MIAMI DADE CARDIOLOGY,FL,MIAMI,0,1372.32,POINT (-80.194702 25.775084)
HARRIS HEALTH SYSTEM,TX,HOUSTON,747.40,4572044.03,POINT (-95.369506 29.760803)
PORTAGE HOSPITAL LLC,MI,HANCOCK,51.33,0,POINT (-88.591217 47.130692)
NEW JERSEY MEDICAL AND,NJ,JERSEY CITY,0,26.89,POINT (-74.044111 40.717495)
PARK RIDGE HOME HEALTH,NC,ASHEVILLE,211.74,0,POINT (-82.550039 35.59588900000001)
TEXAS HEALTH PHYSICIAN,TX,AZLE,425.33,0,POINT (-97.542463 32.890745)
Florida Hospital,FL,ORLANDO,135134.28,94929.94,POINT (-81.378879 28.538331)
MCV ASSOCIATED PHYSICI,VA,RICHMOND,344.09,0,POINT (-77.43393200000001 37.540759)
URGENT CARE CENTER OF,FL,PORT ORANGE,59.99,0,POINT (-81.010235 29.106811)
COMMUNITY HEALTH OF CE,WA,ELLENSBURG,188.91,0,POINT (-120.548818 46.999606)
HELENA REGIONAL MEDICA,AR,HELENA,340.32,0,POINT (-90.59124200000001 34.529166)
LSU Healthcare Network,LA,NEW ORLEANS,131.37,41300.35,POINT (-90.074948 29.950621)
CAROLINAS PHYSICIANS N,NC,CHARLOTTE,72.77,0,POINT (-80.840161 35.222936)
VALLEY EMERGENCY ROOM,NJ,CEDAR KNOLLS,6164.63,2126.74,POINT (-74.449203 40.821899)
NORTHERN COLORADO HOSP,CO,LOVELAND,0,213.24,POINT (-105.070584 40.394386)
MEMORIAL HEALTH SYSTEM,CO,COLORADO SPRINGS,78126.86,127622.64,POINT (-104.819798 38.835224)
PATIENT FIRST,VA,FAIRFAX,8553.24,252.94,POINT (-77.306292 38.847183)
UCLA DEPARTMENT OF MED,CA,LOS ANGELES,990.68,111.44,POINT (-118.243344 34.052238)
TRUEPARTNERS NORTHWEST,TX,AMARILLO,9052.67,2539.58,POINT (-101.832013 35.207009)
CARDIOLOGY CLINICAL GR,NY,ROCHESTER,16.88,0,POINT (-77.612547 43.155708)
MERCY CLINIC PHYSICAL,MO,MARTHASVILLE,42.16,0,POINT (-91.055216 38.628324000000006)
FIRST CHOICE PHYSICIAN,CA,FOUNTAIN VALLEY,0,1519.99,POINT (-117.951323 33.708975)
HEMATOLOGY ONCOLOGY AS,NY,NYACK,31.54,19099.72,POINT (-73.918239 41.090984)
COPLEY MEMORIAL HOSPIT,IL,AURORA,36069.35,1031365.53,POINT (-88.309507 41.75527)
EXPRESS CARE WA LLC,WA,LAKE STEVENS,51.33,0,POINT (-122.064007 48.014996)
NORTHEAST EMERGENCY ME,CT,WILLIMANTIC,4030.92,254.94,POINT (-72.211975 41.711724)
DE CRAIG RANCH LLC,NV,NORTH LAS VEGAS,0,13104.28,POINT (-115.116984 36.197539)
PROVIDENCE HEALTH AND,OR,NEWBERG,106.83,96.08,POINT (-122.979156 45.300317)
ADVENTIST LAGRANGE MEM,IL,LA GRANGE,8864.57,0,POINT (-87.869529 41.812398)
COFFEE COUNTY HOSPITAL,GA,DOUGLAS,0,705.33,POINT (-82.850392 31.508865000000004)
MINUTECLINIC DIAGNOSTI,IL,EVANSTON,19969.11,221.05,POINT (-87.68786700000001 42.052157)
MERIDIAN MEDICAL ASSOC,MS,MERIDIAN,20.89,2093.81,POINT (-88.702527 32.365044)
JEFFERSON UNIVERSITY P,PA,PHILADELPHIA,0,27.21,POINT (-75.16562 39.951061)
ELLENVILLE EMERGENCY M,NY,ELLENVILLE,588.89,449.14,POINT (-74.39559 41.716875)
HOSPITAL OF CENTRAL CT,CT,SOUTHINGTON,0,116.88,POINT (-72.878105 41.600428)
THE EMORY CLINIC,GA,DECATUR,215.53,278.78,POINT (-84.296562 33.773556)
ALEXANDRIA IMMEDIATE C,VA,ALEXANDRIA,5157.32,249.20,POINT (-77.043614 38.804665)
WINCHESTER EMERGENCY,MA,WINCHESTER,2073.35,0,POINT (-71.133759 42.45315800000001)
STRHS WINCHESTER,TN,WINCHESTER,1148.27,0,POINT (-86.111798 35.186788)
ALLIANCE PHYSICIANS IN,OH,SPRINGBORO,0,73.04,POINT (-84.232995 39.556667)
PATIENT FIRST,VA,WOODBRIDGE,1019.90,91.56,POINT (-77.245654 38.663462)
MARTIN HEALTH,TN,MARTIN,322.61,0,POINT (-88.850491 36.343182)
MISSISSIPPI EMERGENCY,MS,BRANDON,0,166.60,POINT (-89.97095 32.272828)
GENESIS REFERENCE LABO,FL,ORLANDO,15651.33,3600.00,POINT (-81.378879 28.538331)
BBH PBMC LLC,AL,BIRMINGHAM,5770.40,0,POINT (-86.807705 33.522859)
BROCK MEDICAL LLC,KY,SOMERSET,455.95,0,POINT (-84.60461 37.092109)
EMERGENCY SERVICES OF,OK,NORMAN,1541.65,549.57,POINT (-97.445943 35.221051)
FAMILY CARE SPECIALIST,FL,OCALA,83.42,0,POINT (-82.137789 29.189311000000004)
METHODIST HEALTHCARE S,TX,JOURDANTON,14724.00,2848.09,POINT (-98.542457 28.910678999999995)
MERIDIAN TRAUMA ASSOCI,NJ,NEPTUNE,0,845.13,POINT (-74.035354 40.213163)
CARDIOTHORACIC AND VAS,IL,MELROSE PARK,0,20659.07,POINT (-87.85661000000002 41.893429)
North Carolina Baptist,NC,WINSTON SALEM,7593.20,1036163.96,POINT (-80.243735 36.096261)
MEDICAL ASSOCIATES OF,MS,VICKSBURG,5885.65,745.02,POINT (-90.88245600000002 32.348144)
EMERGENCY MEDICINE PRO,FL,DELAND,5241.17,354.52,POINT (-81.29927 29.028093)
SANTIBANEZ AGUIRRE PC,UT,WEST JORDAN,0,933.27,POINT (-111.93876500000002 40.610919)
ST FRANCIS CARDIOVASCU,NY,HEWLETT,0,61.07,POINT (-73.69552 40.643448)
ST BERNARD PARISH HOSP,LA,CHALMETTE,31863.88,44038.60,POINT (-89.96325300000001 29.943421000000004)
INTERMOUNTAIN HEALTHCA,UT,OGDEN,6892.85,15665.14,POINT (-111.970419 41.222761)
SOUTHWEST MEDICAL ASSO,TX,EAGLE PASS,64.40,1186.51,POINT (-100.500457 28.706045)
JACKSON COUNTY FIRE RE,FL,MARIANNA,0,529.14,POINT (-85.239053 30.775533000000003)
MASSACHUSETTS GENERAL,MA,CHELSEA,0,277.25,POINT (-71.032545 42.393668)
NORTH SHORE LIJ,NY,NEW YORK,1272.65,2781.84,POINT (-74.007228 40.713054)
STEWARD MEDICAL GROUP,FL,ROCKLEDGE,0,364.59,POINT (-80.717462 28.324494000000005)
RCCH TRIOS HEALTH LLC,WA,KENNEWICK,1817.92,667.33,POINT (-119.116969 46.202607)
PATIENT FIRST,VA,LEESBURG,1441.77,0,POINT (-77.550635 39.108)
NEW HANOVER REGIONAL M,NC,WILMINGTON,20879.38,280721.50,POINT (-77.946197 34.2367)
MONROE COUNTY AMBULANC,TN,MADISONVILLE,0,648.19,POINT (-84.363507 35.519817)
ST VINCENT MEDICAL GRO,IN,FISHERS,2937.99,0,POINT (-86.01554700000001 39.956783)
SOMERVILLE SURGICAL LL,MD,COLUMBIA,0,1495.93,POINT (-76.869905 39.213641)
ABBOTT NORTHWESTERN HO,MN,HOPKINS,3918.46,1408.24,POINT (-93.413946 44.924392)
UNIVERSITY HOSPITAL UM,NJ,NEWARK,1583.20,1878.46,POINT (-74.174388 40.731507)
BLUE RIDGE COMMUNITY H,NC,COLUMBUS,0,106.90,POINT (-82.199824 35.251117)
HEALTHCARE RADIOLOGY A,NY,DOBBS FERRY,0,499.65,POINT (-73.872696 41.014257)
NOVANT MEDICAL GROUP,NC,HUNTERSVILLE,14560.18,2543.00,POINT (-80.848994 35.410565)
FLORIDA HOSPITAL HEART,FL,WAUCHULA,91.78,45.45,POINT (-81.807344 27.554298000000003)
FORREST CITY MEDICAL C,AR,FORREST CITY,1376.46,0,POINT (-90.785263 35.009235)
KINGS DAUGHTERS MEDICA,KY,ASHLAND,209.95,0,POINT (-82.646675 38.475807)
CENTRAL MISSISSIPPI ME,MS,JACKSON,62.23,28497.21,POINT (-90.183488 32.302897)
EASTSIDE EMERGENCY PHY,WA,ISSAQUAH,1417.93,240.96,POINT (-122.032904 47.530072)
COVENANT MEDICAL GROUP,TX,WOLFFORTH,552.12,0,POINT (-102.009021 33.507151)
MEMORIAL HERMANN HEALT,TX,SUGAR LAND,12309.67,31123.44,POINT (-95.620971 29.597075000000004)
ALTAMED HEALTH SERVICE,CA,ROSEMEAD,51.28,0,POINT (-118.07763800000001 34.080676)
ANGEL MEDICAL CENTER,NC,FRANKLIN,6060.32,7004.67,POINT (-83.381165 35.1819)
CRITICARE INC,FL,TAVERNIER,2528.02,63.05,POINT (-80.513101 25.013137000000004)
CLAY COUNTY HEALTHCARE,AL,ASHLAND,1596.22,0,POINT (-85.835406 33.273894)
ACADIA WOMENS HEALTH,LA,CROWLEY,743.99,0,POINT (-92.381228 30.211225999999996)
UCHEALTH MEDICAL GROUP,CO,WOODLAND PARK,179.38,0,POINT (-105.051713 38.994594)
MASS EXPRESS CARE,MA,RAYNHAM,166.86,0,POINT (-71.072885 41.949009)
PROVIDENCE SEASIDE HOS,OR,SEASIDE,0,732.38,POINT (-123.920655 45.993121)
BROKEN BETTER URGENT C,SC,ROCK HILL,2464.97,102.62,POINT (-81.0301 34.94133)
LAKESIDE ANES ASSOC PL,MI,MOUNT CLEMENS,0,159.43,POINT (-82.878335 42.596795)
NEWTON WELLESLEY AMBUL,MA,NEEDHAM,555.19,190.79,POINT (-71.23684 42.280944)
GEISINGER WYOMING VALL,PA,WILKES BARRE,22595.78,571.24,POINT (-75.881184 41.246249)
MONTROSE MEMORIAL HOSP,CO,MONTROSE,205.32,0,POINT (-107.876806 38.478034)
SCOTT WHITE CLINIC,TX,TEMPLE,193.52,667.32,POINT (-97.342737 31.098237)
Singing River Health S,MS,PASCAGOULA,19995.12,55089.63,POINT (-88.547309 30.365764999999996)
UW PHYSICIANS,WA,SHORELINE,0,226.59,POINT (-122.34026700000001 47.755989)
UNIVERSITY OF UTAH ACU,UT,SALT LAKE CITY,120.39,22013.01,POINT (-111.888142 40.758478)
HARVEST LABS INC,LA,CROWLEY,3002.66,500.00,POINT (-92.381228 30.211225999999996)
THE HARBORAGE,NJ,WALL TOWNSHIP,0,24665.46,POINT (-74.098565 40.160743)
SAINT ALPHONSUS MEDICA,ID,BOISE,27710.07,44847.35,POINT (-116.20157900000001 43.615791)
GOSHEN HEALTH SYSTEMS,IN,NAPPANEE,244.59,43.04,POINT (-85.999946 41.442648)
CEP AMERICA LLC,CA,MODESTO,11662.44,2383.97,POINT (-121.00243500000002 37.640735)
ESSEN MEDICAL ASSOCIAT,NY,BRONX,906.85,1328.59,POINT (-73.920265 40.826153)
CALIFORNIA PACIFIC MED,CA,SAN FRANCISCO,1586.02,0,POINT (-122.42016799999999 37.780080000000005)
BARNESVILLE HOSPITAL A,OH,BARNESVILLE,4115.35,125.40,POINT (-81.177346 39.987904)
TEXAS MEDICINE RESOURC,TX,AZLE,136323.20,40027.26,POINT (-97.542463 32.890745)
1ST  CHOICE HEALTHCARE,AR,ASH FLAT,266.83,0,POINT (-91.608619 36.224048)
WAKEMED SPECIALIST GRO,NC,RALEIGH,0,340.90,POINT (-78.64167 35.781295)
WINCHESTER RADIOLOGIST,VA,WARRENTON,50.25,3175.50,POINT (-77.795561 38.713842)
ADVANCED CARDIOLOGY LL,NJ,SPRINGFIELD,0,604.31,POINT (-74.320089 40.70197)
GULF REGIONAL PATHOLOG,AL,MOBILE,0,11.40,POINT (-88.044822 30.688943)
PREMIER HEALTH PARTNER,CA,BLYTHE,123.87,179.83,POINT (-114.59682699999999 33.610437)
JOHNS HOPKINS UNIVERSI,MD,BETHESDA,414.84,3264.70,POINT (-77.094135 38.984757)
INFECTIOUS DISEASE SPE,NJ,NEWARK,0,14988.02,POINT (-74.174388 40.731507)
AMBULATORY STRATEGIES,TX,CORPUS CHRISTI,1868.24,1298.77,POINT (-97.404131 27.796416)
HARRIS COUNTY EMERGENC,TX,HOUSTON,0,6395.47,POINT (-95.369506 29.760803)
FAXTON ST LUKES HEALTH,NY,NEW HARTFORD,95.80,0,POINT (-75.291002 43.072308)
MERCY CATHOLIC MEDICAL,PA,DARBY,16790.04,489630.09,POINT (-75.260717 39.918212)
UTHEALTH PITTSBURG,TX,PITTSBURG,1836.77,2158.23,POINT (-94.965696 32.994988)
VICTORIA EMERGENCY PAR,TX,SAN ANTONIO,460.73,0,POINT (-98.494599 29.425172999999997)
PATIENT FIRST,VA,CHESAPEAKE,691.25,0,POINT (-76.249925 36.71461)
BULL CITY PHYSICIANS P,NC,HENDERSON,7255.08,1256.03,POINT (-78.399157 36.329522)
VIRGINIA HOSPITAL CENT,VA,ALEXANDRIA,0,212.51,POINT (-77.043614 38.804665)
RADIOLOGY CONSULTANTS,AR,LITTLE ROCK,406.14,97.35,POINT (-92.275105 34.748745)
SELF MEDICAL GROUP,SC,GREENWOOD,127.39,206.71,POINT (-82.159499 34.187578)
CARILION ROANOKE MEMOR,VA,ROANOKE,9.33,0,POINT (-79.940581 37.270496)
LANCASTER HEALTH CENTE,PA,LANCASTER,0,357.62,POINT (-76.307078 40.039401)
MCFARLAND CLINIC,IA,STORY CITY,45.13,0,POINT (-93.591059 42.185863)
ALLEGHANY HEALTH NETWO,PA,PITTSBURGH,5238.04,443.62,POINT (-79.994945 40.442169)
NORTH HUDSON COMMUNITY,NJ,HARRISON,476.27,108.82,POINT (-74.155894 40.74322)
ST JOHN PEDIATRICS ASS,MI,SOUTHFIELD,0,640.47,POINT (-83.240756 42.477952)
UNIVERSITY OF TEXAS SO,TX,DALLAS,3455.90,17095.87,POINT (-96.796215 32.777977)
UNIVERSITY OF UTAH PED,UT,LAYTON,0,101.67,POINT (-111.96627400000001 41.060161)
PULMONARY AND CRITICAL,MD,GLEN BURNIE,0,785.26,POINT (-76.62498400000001 39.164818)
THE IOWA CLINIC,IA,WEST DES MOINES,1098.06,0,POINT (-93.713031 41.575505)
ST VINCENT MEDICAL GRO,IN,GREENWOOD,153.86,0,POINT (-86.117876 39.613576)
NORTHSIDE PRIMARY CARE,GA,CUMMING,50.70,0,POINT (-84.140359 34.207048)
PIEDMONT HEALTH SERVIC,NC,CARRBORO,10901.83,292.07,POINT (-79.079583 35.913575)
SE EMERGENCY PHYSICIAN,NC,NAGS HEAD,212.71,62.68,POINT (-75.643616 35.986341)
NORTH SHORE LIJ,NY,GLEN COVE,0,982.90,POINT (-73.63976 40.867785)
BROADLAWNS MEDICAL CEN,IA,DES MOINES,0,15509.07,POINT (-93.620309 41.588822)
URGENT TEAM OF ARKANSA,AR,ROGERS,6245.15,281.81,POINT (-94.12568 36.333493)
ST VINCENT MEDICAL GRO,IN,BROWNSBURG,258.59,0,POINT (-86.397957 39.84334)
HEALTHFIRST BLUEGRASS,KY,LEXINGTON,1489.43,75.12,POINT (-84.497021 38.046356)
GUTHRIE CLINIC,NY,ITHACA,105.80,9.14,POINT (-76.461572 42.422372)
WALKER LAKE PHY SERVIC,GA,CONYERS,0,4033.31,POINT (-84.01779 33.667963)
MERCY HOSPITAL KINGFIS,OK,KINGFISHER,722.66,2763.94,POINT (-97.932578 35.842204)
CHRISTIANA CARE HEALTH,PA,CHADDS FORD,78.36,100.19,POINT (-75.591435 39.872045)
STATEN ISLAND UNIVERSI,NY,STATEN ISLAND,15271.34,139212.17,POINT (-74.076203 40.643498)
NORTH OAKS PHYSICIAN G,LA,INDEPENDENCE,129.25,0,POINT (-90.500399 30.633635999999996)
NATCHITOCHES REGIONAL,LA,NATCHITOCHES,4415.98,265.44,POINT (-93.087377 31.753481999999998)
GREENWICH EMS,CT,RIVERSIDE,0,3997.70,POINT (-73.579464 41.033877)
PRIMARY CARE CENTER OF,AL,MONROEVILLE,70.38,0,POINT (-87.323222 31.522470000000002)
STEPHENS COUNTY HOSPIT,GA,TOCCOA,5219.58,14599.75,POINT (-83.332989 34.577289)
SENTARA HEALTHCARE,VA,VIRGINIA BEACH,9741.02,1118.94,POINT (-75.975518 36.845117)
SUFFOLK PULMONARY ASSO,NY,PORT JEFFERSON,0,2102.91,POINT (-73.067893 40.945139)
EMERGENCY MEDICAL SPEC,FL,JACKSONVILLE,6374.12,297.37,POINT (-81.65676 30.325968)
IMMEDIATE CARE CENTER,IL,WESTMONT,586.38,0,POINT (-87.97531600000002 41.795265)
ESSENTIA HEALTH DULUTH,MN,DULUTH,92.23,0,POINT (-92.10545700000002 46.782882)
CHRISTIANA CARE HEALTH,DE,NEWARK,339.76,3110.44,POINT (-75.753614 39.681656)
PROJECT VIDA HEALTH CE,TX,EL PASO,62.25,0,POINT (-106.492257 31.76006)
GLENCOE REGIONAL HEALT,MN,GLENCOE,1657.32,0,POINT (-94.151715 44.76905500000001)
MERCY HEALTH PARTNERS,MI,MUSKEGON,1102.66,53224.13,POINT (-86.246388 43.234221)
MONTEFIORE MEDICAL CEN,NY,BRONX,3152.89,23786.20,POINT (-73.920265 40.826153)
LUBBOCK HERITAGE HOSPI,TX,LUBBOCK,391.02,391.02,POINT (-101.855113 33.583578)
WATAUGA MEDICAL CENTER,NC,BOONE,496.86,0,POINT (-81.669431 36.20401)
UW PHYSICIANS,WA,SEATTLE,0,110.90,POINT (-122.33028000000002 47.603229)
DIMENSIONS HEALTHCARE,MD,CHEVERLY,0,599.45,POINT (-76.912982 38.927709)
DR MOHAMMAD A ZUBAIR M,NJ,WOODBRIDGE,0,27362.34,POINT (-74.28237 40.553642)
UPMC PINNACLE ANESTHES,PA,HARRISBURG,0,294.36,POINT (-76.881821 40.259572)
MONMOUTH OCEAN PULMONA,PA,HUNTINGDON VALLEY,0,6937.64,POINT (-75.05713 40.120688)
WAUKEGAN CLINIC CORP,IL,GRAYSLAKE,0,194.06,POINT (-88.030956 42.34887700000001)
ST VINCENTS EAST,AL,BIRMINGHAM,4871.39,36148.01,POINT (-86.807705 33.522859)
NORTH JERSEY PRIMARY C,MA,STERLING,0,1118.96,POINT (-71.760109 42.437712)
UNIVERSITY OF FLORIDA,FL,JACKSONVILLE,0,1424.58,POINT (-81.65676 30.325968)
BLUE RIDGE MEDICAL GRO,NC,LENOIR,226.87,0,POINT (-81.53476 35.905373)
Jefferson University P,PA,PHILADELPHIA,78.79,79167.24,POINT (-75.16562 39.951061)
RUSH UNIVERSITY MEDICA,IL,CHICAGO,0,5828.22,POINT (-87.632398 41.88322900000001)
QHG OF GADSDEN,AL,GADSDEN,3767.02,42451.38,POINT (-86.021173 34.011579)
WESTCHESTER URGENT CAR,NY,YONKERS,1807.11,616.96,POINT (-73.896052 40.932014)
VANDERBILT UNIVERSITY,TN,NASHVILLE,369.05,5272.08,POINT (-86.779932 36.166687)
BAKERSFIELD MEMORIAL H,CA,BAKERSFIELD,2239.49,258.78,POINT (-119.01891099999999 35.373405)
VANDERBILT UNIVERSITY,TN,SPRING HILL,89.35,0,POINT (-86.933003 35.748409)
DUKE UNIV AFFIL PHYSIC,NC,DURHAM,3651.33,2338.95,POINT (-78.899023 35.996948)
PHOENIXVILLE CLINIC CO,PA,PHOENIXVILLE,1944.57,1120.53,POINT (-75.515819 40.132857)
AURORA MEDICAL GROUP,WI,GREENFIELD,61.40,12.52,POINT (-88.003192 42.966539)
KURAOKA CLINIC,GA,MARIETTA,1751.54,0,POINT (-84.549051 33.952304)
SOUTH LAKE HOSPITAL,FL,CLERMONT,9961.20,3521.58,POINT (-81.732898 28.49532)
TAKOMA REGIONAL HOSPIT,TN,GREENEVILLE,13185.19,51.33,POINT (-82.831451 36.162235)
BLUFF CREEK EMER MED A,TX,EL PASO,179.80,0,POINT (-106.492257 31.76006)
ST VINCENT HOSPITAL,WI,GREEN BAY,226.96,1681.58,POINT (-88.013256 44.513288)
MCLEOD LORIS SEACOAST,SC,LITTLE RIVER,325.94,0,POINT (-78.626569 33.870387)
NORTHWEST ARKANSAS HOS,AR,SPRINGDALE,301.73,144715.72,POINT (-94.138521 36.185104)
MERCY HOSPITAL OF BUFF,NY,BUFFALO,0,493.35,POINT (-78.879374 42.887691)
NEOSHO MEMORIAL REGION,KS,CHANUTE,1939.97,0,POINT (-95.452537 37.681787)
G A CARMICHAEL FAMILY,MS,CANTON,2973.96,0,POINT (-90.03489 32.61386)
COUNTY OF SURRY,NC,DOBSON,0,51.00,POINT (-80.723038 36.396584)
BELLEVUE HOSPITAL CENT,NY,BROOKLYN,0,171.79,POINT (-73.990996 40.692529)
AHN EMERUS WESTMORELAN,PA,GREENSBURG,3435.55,0,POINT (-79.547152 40.310785)
CRANDON EMERGENCY PHYS,IL,CHICAGO,0,192.40,POINT (-87.632398 41.88322900000001)
NEIGHBORCARE HEALTH,WA,SEATTLE,228.87,249.96,POINT (-122.33028000000002 47.603229)
TIFT REGIONAL HEALTH S,GA,ADEL,433.64,1347.13,POINT (-83.423339 31.137032000000005)
MERCYONE MEDICAL GROUP,IA,DES MOINES,357.34,0,POINT (-93.620309 41.588822)
SPRINGHILL DIAGNOSTIC,AL,MOBILE,166.26,63.00,POINT (-88.044822 30.688943)
SEA MAR COMMUNITY HEAL,WA,EVERSON,383.20,0,POINT (-122.358225 48.911106)
MEDICAL ASSOCIATES OF,NJ,CRESSKILL,121.57,532.62,POINT (-73.95738 40.938696)
MORTON PLANT MEASE PRI,FL,SAINT PETERSBURG,8.69,0,POINT (-82.638488 27.772069000000002)
PROTESTANT MEMORIAL ME,IL,BELLEVILLE,3752.33,12095.25,POINT (-89.984229 38.512629)
